TOOLTIP_AFFECT_VOTEFORBONUS	Voteazã pentru bonus
PRIVATE_SHOP_CLOSE_QUESTION	Chceš zavøít soukromı stánek?
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	Název soukromého stánku.
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Cena
PVP_LEVEL1	Beginner
PVP_LEVEL2	Friendly
PVP_LEVEL3	Good
PVP_LEVEL4	Noble
PVP_LEVEL5	Chivalrous
PVP_LEVEL6	Warlike
PVP_LEVEL7	Heroic
PVP_LEVEL8	Dangerous
PVP_LEVEL9	Fearsome
PVP_LEVEL10	Demonic
PVP_LEVEL11	DEMON
PVP_LEVEL12	GOD
PVP_LEVEL13	ILLUMINATE
PVP_LEVEL14	SAGE
PVP_LEVEL15	HAX
PVP_LEVEL16	HACKER
PVP_LEVEL17	OVERKILL
PVP_LEVEL18	OVERLORD
PVP_LEVEL19	DESTROYER
PVP_LEVEL20	GODMODE
PVP_LEVEL21	HEAVEN GOD
PVP_MODE_GUILD	Cechovní mód PvP byl zaktivován
PVP_MODE_KILL	Mód volného PvP byl zaktivován
PVP_MODE_NORMAL	Mír v PvP byl zaktivován
PVP_MODE_PROTECT	Ochrana PvP byla aktivována.
PVP_MODE_REVENGE	Agresivní PvP byl zaktivován.
PVP_OPTION_KILL	Volno
PVP_OPTION_NORMAL	Mír
PVP_OPTION_PROTECT	Ochrana
PVP_OPTION_REVENGE	Nepøátelskı
PVP_TOURNAMENT_DO_NOT_AUTO	Bìhem PvP turnaje nemùeš pouít automatickı útok.
QUEST_APPEND	Byl získán novı úkol.
QUEST_HOUR	hodin
QUEST_MIN	min.
QUEST_SEC	sek.
QUEST_TIMEOVER	Èas vypršel
QUEST_UNLIMITED_TIME	Bez èasového omezení
QUEST_ZEROSEC	0 sek.
QUICKSLOT_REGISTER_DISABLE_ITEM	Tento pøedmìt nemùe bıt pøidán k poli rychlého pøístupu.
RANKING	Hodnost
RANKING_BOARD_MEMBER	Èlen
RECEIVE_MESSAGE	%s ti poslal/a zprávu.
REFINE_COST	Náklady na zlepšení: %d Yang
REFINE_DESTROY_WARNING	Pøedmìt by se mohl zušlechtìním znièit.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Opravdu chceš vylepšit tento pøedmìt?
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	Pokud se to nezdaøí, pøedmìt bude znièen. Pøeješ si pokraèovat?
REFINE_DOWN_GRADE_WARNING	Pøedmìt by se mohl zušlechtìním zhoršit.
REFINE_DO_YOU_SEPARATE_METIN	Chceš odstranit všechny kameny ducha?
REFINE_ELEMENT_CHANGE_TEXT	%s má nyní element %s!
REFINE_ELEMENT_DOWNGRADE_TEXT	Vylepšení elementem bylo sníeno!
REFINE_ELEMENT_EXIST	Pøedmìt má ji další element.
REFINE_ELEMENT_GRADE_MAX	Bylo dosaeno maximální úrovnì elementárního elementu.
REFINE_ELEMENT_NOT_ENOUGHT_GRADE	Elementární vylepšení je dostupné pouze pro zbranì +7 nebo vyšší.
REFINE_ELEMENT_NOT_ENOUGHT_YANG	Nedostatek Yangù.
REFINE_ELEMENT_NOT_EXSIT	Nelze pouít s tímto pøedmìtem.
REFINE_ELEMENT_TEXT_DARK	Temnota +%d
REFINE_ELEMENT_TEXT_EARTH	Zemì +%d
REFINE_ELEMENT_TEXT_ELECT	Blesk +%d
REFINE_ELEMENT_TEXT_FIRE	Oheò +%d
REFINE_ELEMENT_TEXT_ICE	Led +%d
REFINE_ELEMENT_TEXT_WIND	Vítr +%d
REFINE_ELEMENT_UPGRADE_FAIL_TEXT	Vylepšení elementem selhalo.
REFINE_ELEMENT_UPGRADE_SUCCESS_TEXT	Vylepšení elementem bylo úspìšné.
REFINE_FAILURE	To nefunguje! Selhali jsme.
REFINE_FAILURE_CAN_NOT_ATTACH0	%s nelze pøidat k pøedmìtu.
REFINE_FAILURE_DEL_ITEM	Zušlechtìní se nezdaøilo. Pøedmìt byl znièen.
REFINE_FAILURE_EQUIP_ITEM	Nemùeš vylepšovat pouívané pøedmìty.
REFINE_FAILURE_GRADE_DOWN	Zušlechtìní se nezdaøilo. Úroveò pøedmìtu byla sníena.
REFINE_FAILURE_KEEP_GRADE	Zušlechtìní se nezdaøilo.\nNaštìstí se pøedmìtu nic nestalo.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	Nelze odstranit kámen ducha.
REFINE_FAILURE_NEED_BETTER_SCROLL	Potøebuješ lepší pergamen zlepšování.
REFINE_FAILURE_NO_GOLD_SOCKET	Neexistuje ádná úchytka ze zlata, do kterého lze pøidat %s.
REFINE_FAILURE_NO_MORE_SOCKET	Nemùeš pøidat ádné další úchyty.
REFINE_FAILURE_NO_SOCKET0	Neexistuje ádnı úchyt, do kterého lze pøidat %s.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	K tomuto pøedmìtu nelze pøidat ádnı úchyt.
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	Tento pøedmìt nelze zlepšit.
REFINE_SUCCESS	Toto zlepšení pøedmìtu bylo úspìšné.
REFINE_SUCCESS_PROBALITY	Šance na zlepšení: %d%%
REFINE_WARNING2	Chceš pokraèovat?
RESTART_POPUP_GIVEUP_MIST_ISLAND	V Bitvì pìti oltáøù jsi byl rozsekán na kusy.\nNyní se vrátíš zpìt do vesnice.
REVIVE_QUESTION	Chceš oivit %s? Poèet hranolù oivení: %d
REVIVE_SELF_QUESTION	Chceš se oivit? Poèet hranolù oivení: %d
ROULETTE_REWARD_TEXT	Sebrat pøedmìt
SAFEBOX_ERROR	Zadal jsi špatné heslo.
SAFEBOX_NEED_CHANGE_PASSWORD	Tvé pøístupové heslo vypršelo.\nProsíme, zvol si nové.
SAFEBOX_SELL_DISABLE_SAFEITEM	Nemùeš prodat ádnı z uloenıch pøedmìtù.
SAFEBOX_UNAVILABLE_PASSWORD_01	Toto heslo nemùeš pouít.
SAFEBOX_UNAVILABLE_PASSWORD_02	Tvé heslo musí obsahovat alespoò %d znakù.
SAFEBOX_UNAVILABLE_PASSWORD_03	Zadal jsi aktuální heslo. Prosíme, zvol si nové.
SAFEBOX_UNAVILABLE_PASSWORD_04	Tvé heslo nesmí obsahovat %d stejnıch nebo po sobì jdoucích èísel.
SAFEBOX_UNAVILABLE_PASSWORD_05	Nejsou povoleny speciální znaky. Povolené znaky: a-z, A-Z, 0-9
SAFEBOX_WRONG_PASSWORD	Hesla musí bıt identická.
SCREENSHOT_SAVE1	je uloen v
SCREENSHOT_SAVE2	Sloka screenshotù
SCREENSHOT_SAVE_FAILURE	Uloení screenshotu se nezdaøilo.
SECOND	sek
SECOND_CONFIRM_PET_FEED_QUESTION_1	Tvùj pøedmìt má %d nebo více bonusù.
SECOND_CONFIRM_PET_FEED_QUESTION_2	Opravdu tím chceš nakrmit mazlíka?
SECOND_CONFIRM_SELL_ITEM_QUESTION_1	Tvùj pøedmìt má %d nebo více bonusù.
SECOND_CONFIRM_SELL_ITEM_QUESTION_2	Opravdu si to pøeješ prodat?
SELECT_ATTR_NOTICE	Nemùeš otevøít soukromı stánek kdy pouíváš Zaèarovat pøedmìt+.
SELECT_ATTR_NOT_OPEN	Nemùeš pouít Zaèarovat pøedmìt+, kdy máš otevøen soukromı stánek.
SELECT_ATTR_NOT_SELECT	Rozhodni se, zda si chceš bonusy ponechat nebo je zamìnit.
SELECT_CAN_NOT_DELETE	Tuto postavu nemùeš smazat.
SELECT_CAN_NOT_DELETE_ATTR67	Nemùeš smazat svou postavu\npøi pøidávání bonusù.
SELECT_CAN_NOT_DELETE_GUILD_MEMBER	Nemùeš smazat postavu, kdy jsi èlen cechu.
SELECT_CAN_NOT_DELETE_HAVE_SEALED_ITEM	Nemùeš smazat postavu, protoe vlastníš pøedmìty svázané s duší.
SELECT_CAN_NOT_DELETE_LAST_CHAR_SAFEBOX	Nemùeš smazat postavu, protoe máš stále pøedmìty ve skladišti.
SELECT_CAN_NOT_DELETE_LIMITE_LEVEL	Postavu mùeš smazat pouze do úrovnì 69.
SELECT_CAN_NOT_DELETE_MARRIAGE	Nemùeš smazat vdanou/oenìnou postavu.
SELECT_CAN_NOT_DELETE_PRIVATE_CODE_ERROR	Kód pro smazání je chybnı.
SELECT_CAN_NOT_DELETE_REMAIN_TIME	Postavu nemùeš smazat ihned po jejím vytvoøení. Èekací doba: %s
SELECT_CHANGED_NAME	Zmìnil jsi název postavy.
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	Tento název postavy u existuje.
SELECT_CHANGE_FAILURE_STRANGE_INDEX	Zkus to znovu.
SELECT_CHANGE_FAILURE_STRANGE_NAME	Toto je špatné jméno postavy.
SELECT_CHANGE_NAME_TITLE	Zmìnit název postavy
SELECT_DELEING	Mazání...
SELECT_DELETED	Vymazání úspìšné.
SELECT_DO_YOU_DELETE_REALLY	Chceš pokraèovat?
SELECT_EMPTY_SLOT	Toto je prázdné pole.
SELECT_GM_NAME	GM
SELECT_INPUT_CHANGING_NAME	Zadej novı název postavy.
SELECT_NOT_JOIN_GUILD	ádnı cech
SERVER_NOTIFY_CLOSED	Uzavøenı server: mohou vstoupit pouze úèty vytvoøené pøed uzavøením serveru.
SERVER_STATUS_CLOSE	UZAVØENO
SERVER_STATUS_NEW	NOVÉ
SERVER_STATUS_SPECIAL	SPECIÁLNÍ
SHOP_BUY_INFO	Zvol pøedmìt, kterı chceš koupit, v obchodním oknì.
SHOP_CANNOT_SELL_EQUIPMENT	Vybavenı pøedmìt nemùeš prodat.
SHOP_CANNOT_SELL_ITEM	Tento pøedmìt není na prodej.
SHOP_ERROR_UNKNOWN	Neznámá chyba v obchodì: %s
SHOP_EXCEED_LIMIT_TODAY	Dosáhl jsi denního limitu pro pouití bodù.
SHOP_INVALID_POS	Tento pøedmìt není vhodnı.
SHOP_INVENTORY_FULL	V inventáøi u není místo.
SHOP_LIMITED_DATA_LOADING	Naèítání dat. Prosíme, zkus to znovu pozdìji.
SHOP_LIMITED_ITEM_REMAIN_COUNT	Zbıvající poèet: %d
SHOP_LIMITED_PURCHASE_OVER	Vyprodáno
SHOP_LIMIT_TODAY	Denní limit: %d / %d
SHOP_MY_BATTLE_POINT	Bitevní body: %d
SHOP_MY_MEDAL_OF_HONOR	Medaile stateènosti: %d
SHOP_NOT_ENOUGH_10TH_COIN	Nemáš dostatek Vıroèních mincí.
SHOP_NOT_ENOUGH_BATTLE_POINT	Nemáš dostatek bitevních bodù.
SHOP_NOT_ENOUGH_BNW	Nemáš dostatek Vìšteckıch mincí.
SHOP_NOT_ENOUGH_GUILD_LEVEL	Úroveò cechu je pøíliš nízká.
SHOP_NOT_ENOUGH_MEDAL_OF_HONOR	Nedostatek Medailí stateènosti.
SHOP_NOT_ENOUGH_MONEY	Nemáš dostatek Yangù
SHOP_NOT_ENOUGH_MONEY_EX	Nemáš dostatek Yangù.
SHOP_SELL_INFO	Zvol pøedmìt, kterı chceš prodat, v oknì inventáøe.
SHOP_SOLDOUT	Vyprodáno
SHOT_ERROR_UNKNOWN	Neznámá chyba v útoku na dálku: %s
SKILL_BLEEDING	Krvácení
SKILL_BOHO	Reflektovat
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_BOOK	Potøebuješ BZK, abys mohl získat tuto schopnost.
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_STAT	Potøebuješ knihu, aby ses mohl nauèit tuto schopnost.
SKILL_CHEONGEUN	Silné tìlo
SKILL_CRITICAL	Kritickı zásah
SKILL_ENCHANT_POISON	Pouít jed
SKILL_EUNHYEONG	Neviditelnı
SKILL_FAINT	Bezvìdomí
SKILL_FIND_TRAP	Hledat past
SKILL_FIRE	Spálit
SKILL_FISHMIND	Koule na ryby je aktivní
SKILL_GAMJI	Zachycení
SKILL_GEOMGYEONG	Aura meèe
SKILL_GICHEON	Pomoc draka
SKILL_GIGONG	Rotace Chi
SKILL_GONGPO	Strach
SKILL_GRADE_NAME_GRAND_MASTER	%s velmistr
SKILL_GRADE_NAME_MASTER	%s mistr
SKILL_GRADE_NAME_PERFECT_MASTER	%s perfektní mistr
SKILL_GROUP_ASSASSIN_1	Èepel
SKILL_GROUP_ASSASSIN_2	Luk
SKILL_GROUP_HORSE	Jezdecké umìní
SKILL_GROUP_SHAMAN_1	Drak
SKILL_GROUP_SHAMAN_2	Uzdravení
SKILL_GROUP_SURA_1	Zbranì
SKILL_GROUP_SURA_2	Magie
SKILL_GROUP_WARRIOR_1	Tìlo
SKILL_GROUP_WARRIOR_2	Mentálnì
SKILL_GWIGEOM	Zaèarovaná èepel
SKILL_GYEONGGONG	Polehouèku našlapovat
SKILL_HEUKSIN	Tmavá ochrana
SKILL_HOSIN	Poehnání
SKILL_INC_ATKSPD	Rychlost útoku zvıšena
SKILL_INC_MOVSPD	Rychlost pohybu zvıšena
SKILL_JEOJU	Kletba
SKILL_JEONGEOP	Hojení
SKILL_JEONGWI	Bojové zuøení
SKILL_JEONSINBANGEO	Plná obrana
SKILL_JEONSINGONGGYEOK	Plnı útok
SKILL_JEUNGRYEOK	Útok +
SKILL_JEUNGSOK	Rychlost +
SKILL_JUMAGAP	Zaèarované brnìní
SKILL_KWAESOK	Rychlost
SKILL_MUYEONG	Duch plamene
SKILL_NEED_EMPTY_BOTTLE	Nemám ádnou prázdnou láhev
SKILL_NEED_POISON_BOTTLE	Nemám ádnou láhev s jedem
SKILL_ONLY_FOR_GUILD_WAR	Tuto schopnost mùeš pouít jenom ve válce cechù.
SKILL_PABEOP	Zrušit kouzlo
SKILL_POWERFUL_STRIKE	Omraèující útok
SKILL_SEOMGWANG	Blesková bomba
SKILL_SLEEP	Spánek
SKILL_SLOW	Pomalu
SKILL_STUN	Omráèit
SKILL_SUHO	Stráce
SKILL_SUMMON_DESCRIPTION	Šance zaøíkávání: %d%%
SKILL_TOOLTIP_INT	Inteligence
SKILL_TOOLTIP_LEVEL	Úroveò
SKILL_TOXICDIE	Otrávení
SKILL_TOXICPOWER	Hodnota útoku jedem zlepšena
SKILL_TUSOK	Rána ducha
SOUL_ITEM_TOOLTIP_APPLY	Efekt aktivován.
SOUL_ITEM_TOOLTIP_BLUE1	Hrací èas: %d/%d min. 
SOUL_ITEM_TOOLTIP_BLUE2	Poškození schopností zvıšeno %.1fx po dosaení herního èasu
SOUL_ITEM_TOOLTIP_COMMON	Není pro: PvP, promìnu
SOUL_ITEM_TOOLTIP_RED1	Hrací èas: %d/%d min. 
SOUL_ITEM_TOOLTIP_RED2	Poškození útok zvıšeno %.1fx po dosaení herního èasu
SOUL_ITEM_TOOLTIP_REMAIN_COUNT	Zbıvající útoky: %d
SOUL_ITEM_TOOLTIP_REMOVE_TIME	Duše vyprší za
SOUL_ITEM_TOOLTIP_UNAPPLIED	Efekt aktivován.
SOUL_REFINE_FAILURE	Zušlechtìní selhalo.
SOUL_REFINE_SUCCESS	Zušlechtìní úspìšné!
STAT_MINUS_CON	Pøizpùsobení vitality (zbıvající šance: %d)
STAT_MINUS_DEX	Pøizpùsobení pohyblivosti (zbıvající šance: %d)
STAT_MINUS_INT	Pøizpùsobení inteligence (zbıvající šance: %d)
STAT_MINUS_STR	Pøizpùsobení síly (zbıvající šance: %d)
STAT_TOOLTIP_CON	ZB a obrana se zlepší
STAT_TOOLTIP_DEX	Útok a vyhıbání se zlepší
STAT_TOOLTIP_INT	Zvyšuje MB, útok magií a obranu
STAT_TOOLTIP_STR	Hodnota útoku a poškození se zlepší
SYMBOLLIST_TITLE	Nahlásit prapor cechu
TARGET_BUTTON_ACCEPT_FIGHT	Souhlasit
TARGET_BUTTON_AVENGE	Pomsta
TARGET_BUTTON_BLOCK	Blokovat
TARGET_BUTTON_BLOCK_REMOVE	Odblokovat
TARGET_BUTTON_BUILDING_DESTROY	Znièit
TARGET_BUTTON_DISMOUNT	Sesednout
TARGET_BUTTON_EMOTION_ALLOW	Emoce
TARGET_BUTTON_EXCHANGE	Obchodování
TARGET_BUTTON_EXCLUDE	Vylouèit
TARGET_BUTTON_EXIT_OBSERVER	Ukonèit diváckı modus
TARGET_BUTTON_FIGHT	Souboj
TARGET_BUTTON_FRIEND	Pøítel
TARGET_BUTTON_INVITE_GUILD	Pozvánka od cechu
TARGET_BUTTON_INVITE_PARTY	Pozvánka od skupiny
TARGET_BUTTON_LEAVE_PARTY	Opustit skupinu
TARGET_BUTTON_REQUEST_ENTER_PARTY	Pøistoupit ke skupinì
TARGET_BUTTON_REVIVE	Oivit
TARGET_BUTTON_VIEW_EQUIPMENT	Vızbroj
TARGET_BUTTON_WHISPER	Šeptat
TARGET_LEVEL_BOSS	Boss
TARGET_LEVEL_KING	Stupeò 5.
TARGET_LEVEL_KNIGHT	Stupeò 3.
TARGET_LEVEL_PAWN	Stupeò 1.
TARGET_LEVEL_S_KNIGHT	Stupeò 4.
TARGET_LEVEL_S_PAWN	Stupeò 2.
TARGET_TOOLTIP_ATTACK_COUNT	Celkové zásahy: %d
TASKBAR_ATTACK	Zaútoèit
TASKBAR_AUTO	Útoèit automaticky
TASKBAR_CAMERA	Kamera
TASKBAR_EXP	Zkušenost
TASKBAR_HP	ZB
TASKBAR_MOVE	Pohybovat
TASKBAR_SKILL	Schopnost
TASKBAR_SP	MB
TASKBAR_ST	VB
TENTH_COIN	Vıroèní mince
TENTH_EVENT_ASK_EXCHANGE	Potøebuješ %d Vıroèních vlajek. Pøeješ si pokraèovat?
THING_COUNT	všichni
TOOLTIP_AFFECT_ATT_GRADE_DOWN	Sníit poškození	SNA
TOOLTIP_AFFECT_CONFUSION	Byl jsi omráèen.
TOOLTIP_AFFECT_CRITICAL_GRADE_DOWN	Sníit šanci na kritickı zásah	SNA
TOOLTIP_AFFECT_CZ_UNLIMIT_ENTER	Známka Stráce	SNA
TOOLTIP_AFFECT_DEFENSEWAVE_LASER	Vodní paprsek se nepodaøilo zastavit.
TOOLTIP_AFFECT_DEF_GRADE_DOWN	Sníit obranu	SNA
TOOLTIP_AFFECT_ELECTRIC_SHOCK	Blesk
TOOLTIP_AFFECT_FISHING_GOLD_TUNA	Bonus Zlatého tuòáka	SNA
TOOLTIP_AFFECT_FISHING_MOVE_SPEED_DOWN	Mokré šaty\n Rychlost pohybu -50	SNA
TOOLTIP_AFFECT_LATE_SUMMER_EVENT_BUFF	Duše (%d/20)	SA
TOOLTIP_AFFECT_LATE_SUMMER_EVENT_PRIMIUM_BUFF	Vzácné duše (%d/150)	SA
TOOLTIP_AFFECT_MI_BUFF	Okupaèní bonus \n%s
TOOLTIP_AFFECT_MOUNT_FALL	Pád z jezdeckého zvíøete	SNA
TOOLTIP_AFFECT_POLYMORPH	Transformovat	SNA
TOOLTIP_AFFECT_RCAST_SPEED	Zvıšit èas obnovení	SNA
TOOLTIP_AFFECT_RED_DRAGONLAIR_BUFF	Odolnost proti poškození schopností +15 % | Odolnost proti poškození normálním útokem +15 % |
TOOLTIP_AFFECT_RESEARCHER_ELIXIR	Vızkumníkùv elixír	SNA
TOOLTIP_AFFECT_RHP_REGEN	Nelze regenerovat	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_01	Skladištní bonus\n+3 % BZK	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_02	Skladištní bonus\n+20 obrana	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_03	Skladištní bonus\n+1 % ZB	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_04	Skladištní bonus\n+3 % síly proti monstrùm	SNA
TOOLTIP_ALIGNMENT_DAMAGE_BONUS	Pøi niších bodech hodnocení se sniuje poškození.	SNA
TOOLTIP_ANTI_CRITICAL_PCT	Odolnost proti kritickım zásahùm +%d%%	SA
TOOLTIP_ANTI_PENETRATE_PCT	Odolnost proti pronikavım zásahùm +%d%%	SA
TOOLTIP_ANTI_SELL	Nemùe se prodávat v obchodì.
TOOLTIP_APPLY_ACCEDRAIN_RATE	Absorpèní pomìr: %d%%	SA
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Silnı proti zvíøatùm +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Silnı proti ninjùm +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BELL	Proraení obrany zvonem +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BOW	Proraení obrany šípem +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_CLAW	Proraení obrany drápem +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_CZ	Síla proti pøíšerám Zvìrokruhu +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DAGGER	Proraení obrany dıkou +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DESERT	Síla/obrana proti pouštním príšerám +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Silnı proti ïáblu +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_FAN	Proraení obrany vìjíøem +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	Silnı proti pololidem +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_INSECT	Síla proti broukùm +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	Silnı proti ezoterikùm +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	Silnı proti pøíšerám +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	Silnı proti Orkùm +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Silnı proti šamanùm +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	Silnı proti surùm +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SWORD	Proraení obrany meèem +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_TWOHAND	Proraení obrany obouruèním meèem +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Silnı proti nemrtvım +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Silnı proti váleèníkùm +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WOLFMAN	Silnı proti Lycanùm + %d%%	SA
TOOLTIP_APPLY_BLEEDING_PCT	Krvácivı útok + %d%%	SA
TOOLTIP_APPLY_BLEEDING_REDUCE	Odolnost proti krvácivım útokùm + %d%%	SA
TOOLTIP_APPLY_BLOCK	Šance odvrátit tìlesnı útok %d%%	SA
TOOLTIP_APPLY_COMBAT_SP_RECOVER	Kadıch 5 sek. obnovit MB v boji %d	SA
TOOLTIP_APPLY_CRITICAL_PCT	+%d%% šance na kritickı zásah	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	%d%% šance dostat pøi zásahu MB nazpìt	SA
TOOLTIP_APPLY_DODGE	%d%% šance vyhnout se šípùm	SA
TOOLTIP_APPLY_ENCHANT_DARK	Síla temnoty +%d%%	SA
TOOLTIP_APPLY_ENCHANT_DARK2	Síla temnoty +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_EARTH	Síla Zemì +%d%%	SA
TOOLTIP_APPLY_ENCHANT_EARTH2	Síla Zemì +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_ELECT	Síle blesku +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ELECT2	Síla blesku +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_FIRE	Síla ohnì +%d%%	SA
TOOLTIP_APPLY_ENCHANT_FIRE2	Síla ohnì +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_ICE	Síla ledu +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ICE2	Síla ledu +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_WIND	Síla vìtru +%d%%	SA
TOOLTIP_APPLY_ENCHANT_WIND2	Síla vìtru +%d%% - +%d%%
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	%d%% šance na bonus BZK	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	%d%% šance pustit dvojnásobek Yangù	SA
TOOLTIP_APPLY_IMMUNE_FALL	Imunní proti pádùm	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	Ochrana proti zpomalení	SNA
TOOLTIP_APPLY_IMMUNE_STUN	Ochrana proti bezvìdomí	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	%d%% šance, nechat dvojnásobnì spadnout pøedmìty	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	%d%% šance obnovit ZB	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	%d%% šance obnovit MB	SA
TOOLTIP_APPLY_MANA_BURN_PCT	%d%% šance pøevzít soupeøovy MB	SA
TOOLTIP_APPLY_MAX_HP_PCT	Max. ZB +%d%%	SA
TOOLTIP_APPLY_MAX_SP_PCT	Max. MB +%d%%	SA
TOOLTIP_APPLY_NOAFFECT	ádné následky
TOOLTIP_APPLY_NO_DEATH_PENALTY	Neztratíš ádné zkušenostní body, pokud bude tvá postava oivena na místì, kde zemøela.	SNA
TOOLTIP_APPLY_NO_DEATH_PENALTY_PLUS	Draèí bùh tì bere pod svá ochraòující køídla. Pokud jsi oiven na palubì, neztrácíš ádné body zkušeností.	SNA
TOOLTIP_APPLY_PENETRATE_PCT	+%d%% šance na pronikavı zásah	SA
TOOLTIP_APPLY_POISON_PCT	Šance na otrávení: %d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	Odolnost vùèi jedu %d%%	SA
TOOLTIP_APPLY_POTION_BONUS	Lektvar %d%% nárùst efektu	SA
TOOLTIP_APPLY_REFLECT_CURSE	%d%% šance odrazit kletbu	SA
TOOLTIP_APPLY_REFLECT_MELEE	%d%% šance odrazit pøímı tìlesnı útok	SA
TOOLTIP_APPLY_RESIST_ASSASSIN	Šance na obranu proti útokùm ninjù %d%%	SA
TOOLTIP_APPLY_RESIST_BELL	Obrana proti zvonùm %d%%	SA
TOOLTIP_APPLY_RESIST_CLAW	Obrana drápem +%d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	Obrana proti dıkám %d%%	SA
TOOLTIP_APPLY_RESIST_FAN	Obrana proti vìjíøùm %d%%	SA
TOOLTIP_APPLY_RESIST_HUMAN	Odolnost proti pololidem %d%%	SA
TOOLTIP_APPLY_RESIST_MOUNT_FALL	Odolnost proti pádu +%d%%	SA
TOOLTIP_APPLY_RESIST_SHAMAN	Šance ubránit se proti útokùm šamanù %d%%	SA
TOOLTIP_APPLY_RESIST_SURA	Šance na obranu proti útokùm surù %d%%	SA
TOOLTIP_APPLY_RESIST_SWORD	Obrana proti meèùm %d%%	SA
TOOLTIP_APPLY_RESIST_TWOHAND	Obrana proti obouruèním meèùm %d%%	SA
TOOLTIP_APPLY_RESIST_WARRIOR	Šance na obranu proti útokùm váleèníkù %d%%	SA
TOOLTIP_APPLY_RESIST_WIND	Odolnost proti vìtru %d%%	SA
TOOLTIP_APPLY_RESIST_WOLFMAN	Obrana proti útokùm Lycanù %d%%	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Šance pøi uèení z knih je zlepšena o faktor 2,5	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Pokud se uèení nezdaøí, mùeš hned èíst ještì jednou.	SNA
TOOLTIP_APPLY_SLOW_PCT	Šance na zpomalení: %d%%	SA
TOOLTIP_APPLY_STEAL_HP	Poškození %d%% je absorbováno ZB.	SA
TOOLTIP_APPLY_STEAL_SP	Poškození %d%% je absorbováno MB.	SA
TOOLTIP_APPLY_STUN_PCT	Šance na bezvìdomí: %d%%	SA
TOOLTIP_ARMOR	Brnìní
TOOLTIP_ARROW	Šíp
TOOLTIP_ASSASSIN	Ninja
TOOLTIP_ATTBONUS_STONE	+%d%% síly proti Kamenùm Metin	SA
TOOLTIP_ATT_GRADE	Hodnota útoku +%d	SA
TOOLTIP_ATT_SPEED	Rychlost útoku +%d%%	SA
TOOLTIP_ATT_SPEED_SLOW	Rychlost útoku omezena	SNA
